resume_id,job_id,score,score_percentual
2112,1,10.31446763353378,42.1432125096907
1367,1,10.200565970993988,41.56201044227068
2008,1,9.030067209055536,35.58934696061589
2112,2,11.221263240486463,46.77028703816088
1367,2,11.094939191839938,46.12569769151656
2008,2,9.796783052177323,39.50164133112499
2112,3,9.75230870712401,39.27470363139557
1367,3,9.646108179419524,38.73279787790072
2008,3,8.554749340369392,33.16395893903591
2112,4,21.65301003344481,100.0
1367,4,21.38377926421405,98.62620548110672
2008,4,18.61705685618729,84.50854690030562
2112,5,14.060030785017958,61.255567841065
1367,5,13.894817855310416,60.41254154830133
2008,5,12.197024114930734,51.74926824782001
